title,location,address,city,state,zip_code,subject,objectid,datebuilt_architect,date,latitude,longitude,architect,filename,rights,format
Divine Lorraine Hotel,North,699 N. Broad St.,Philadelphia,PA,19123,hotel; apartment building,fulldata_167,"1894, Willis G. Hale",1894,37.801124,-122.428063,Willis G. Hale,https://convene.com/wp-content/uploads/2018/09/historic-lorraine-hotel.jpg,,image/jpeg
Antioch Baptist Church,North,1625 W. Thompson St.,Philadelphia,PA,19121,church,fulldata_168,,,39.9520345,-75.1454129,,,,
Aspiranto Health Home,North,2104 W. Jefferson St.,Philadelphia,PA,19121,clinic; dwelling,fulldata_169,,,41.9462284,-87.7397123,,,,
Baker Bowl,North,N. Broad and W. Lehigh Ave.,Philadelphia,PA,19132,stadium,fulldata_170,1887; demolished 1950,1887; 1950,39.9526248,-75.1569986,,https://www.baseball-almanac.com/images/Baker_Bowl_postcard.jpg,,image/jpeg
Berean Baptist Church #2,North,2425 W. Indiana Ave.,Philadelphia,PA,19132,church,fulldata_171,,,39.9848773,-75.1560802,,,,
Black Panthers Headquarters,North,1928 Cecil B. Moore Ave.,Philadelphia,PA,19121,,fulldata_172,,,39.9444141,-75.1656692,,https://images.squarespace-cdn.com/content/v1/57cf18ae6b8f5ba693497e1a/1477071113564-EVO9T7SNVSHGKBO1DDQD/image-asset.jpeg?format=2500w,,image/jpeg
Cyrus Bustill House,North,near 3rd and Green Sts.,Philadelphia,PA,19123,dwelling,fulldata_173,,,33.2194596,-117.232534,,https://www.hmdb.org/Photos/19/Photo19214.jpg,,image/jpeg
David Bustill Bowser House,North,841 N. 4th St.,Philadelphia,PA,19123,dwelling,fulldata_174,,,40.0420208,-75.1803247,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/David_Bustill_Bowser.png/220px-David_Bustill_Bowser.png,"By Unknown author - Pennsylvania Heritage magazine, Winter 2001, vol.XXVII, no. 1. https://archive.org/stream/artisxxxxxxxxblinc#page/n75/mode/2up, Public Domain, https://commons.wikimedia.org/w/index.php?curid=61220599",image/jpeg
Ebenezer Baptist Church Site #1,North,1330 Mt. Vernon St.,Philadelphia,PA,19123,church,fulldata_175,,,39.990821,-75.168428,,,,
Ebenezer Baptist Church Site #2,North,1248 N. 12th St.,Philadelphia,PA,19122,church,fulldata_176,,,39.972633,-75.155743,,,,
Ebenezer Don Carlos Bassett House,North,2121 N. 29th St.,Philadelphia,PA,19121,dwelling,fulldata_177,,,39.988316,-75.180225,,https://www.ccsu.edu/sites/default/files/styles/coh_x_small/public/images/EB2.jpg,,image/jpeg
Emmanuel A.M.E. Church / Temple A.M.E. Church / Trinity A.M.E. Church,North,2416-2418 W. York Ave.,Philadelphia,PA,19132,church,fulldata_178,,,39.990821,-75.168428,,,,
Fair Hill Burial Ground,North,2901 Germantown Ave.,Philadelphia,PA,19133,cemetery,fulldata_179,1842,1842,39.99678,-75.146065,,https://en.wikipedia.org/wiki/Fair_Hill_Burial_Ground#/media/File:Fair_Hill_Philly.JPG,,image/jpeg
Fellowship House,North,1431 Brown St.,Philadelphia,PA,19130,,fulldata_180,,,39.968212,-75.161499,,,,
Fifth Baptist Church / Highway Tabernacle,North,1801 Spring Garden St.,Philadelphia,PA,19130,church,fulldata_181,1859-1864,1859;1864,39.963635,-75.167972,,,,
First African Baptist Church Site #1,North,1029-1033 Pearl St.,Philadelphia,PA,19107,church,fulldata_182,,,39.968037,-75.248247,,,,
Grace A.M.E. Zion Church Site,North,1004 W. Montgomery Ave.,Philadelphia,PA,19122,church,fulldata_183,,,39.98111,-75.249147,,,,
Gratz High (Roy Campanella),North,1798 W. Hunting Park Ave.,Philadelphia,PA,19140,,fulldata_184,"ca. 1927; addition, 1967",1927;1967,40.008475,-75.170125,,,,
Haven Memorial Church,North,2301-2311 W. Oxford St.,Philadelphia,PA,19121,church,fulldata_185,ca. late 1950s - early 1960s,1950s;1960s,39.980214,-75.241242,,,,
Haven Mission Church Site #1,North,1511 N. 26th St.,Philadelphia,PA,19121,church,fulldata_186,before 1887,1887,39.979006,-75.177346,,,,
Heard Church,North,10th and York Ave.,Philadelphia,PA,19133,church,fulldata_187,,,39.990821,-75.168428,,,,
Henry Ossawa Tanner House,North,2908 W. Diamond St.,Philadelphia,PA,19121,dwelling,fulldata_188,ca. 1871,1871,39.987156,-75.175417,,,,
Holsey C.M.E. Church Site,North,near Hunting Park Ave. and Broad St.,Philadelphia,PA,19140,church,fulldata_189,,,39.990821,-75.168428,,,,
Holy Tabernacle Church,North,1608-1610 W. Thompson St.,Philadelphia,PA,19121,church,fulldata_190,ca. 1918,1918,39.97151,-75.145641,,,,
James Bland House,North,1012 Wood St.,Philadelphia,PA,19107,dwelling,fulldata_191,,,39.959757,-75.16965,,,,
