title,location,address,city,state,zip_code,subject,objectid,datebuilt_architect,date,latitude,longitude,architect,filename,rights,format
Horn & Hardart,Northwest,Germantown Ave. and School House Lane,Philadelphia,PA,19144,restaurant,fulldata_275,,,39.990821,-75.168428,,,,
John Trower Catering Company,Northwest,5706 Germantown Ave.,Philadelphia,PA,19144,dwelling; store,fulldata_276,ca. 1870; alterations ca. 1978,1870;1978,40.035912,-75.17525,,,,
Johnson House,Northwest,6306 Germantown Ave.,Philadelphia,PA,19144,dwelling,fulldata_277,1768,1768,39.973054,-75.141599,,,,
Joseph E. Hill School,Northwest,110 W. Rittenhouse St.,Philadelphia,PA,19144,school,fulldata_278,,,40.035435,-75.17882,,,,
Josie D. Heard A.M.E. Church / Manayunk A.M.E. Church,Northwest,4321 Tower St.,Philadelphia,PA,19127,church,fulldata_279,,,40.027207,-75.220608,,,,
Louisa May Alcott House,Northwest,5425 Germantown Ave.,Philadelphia,PA,19144,dwelling,fulldata_280,,,39.973054,-75.141599,,,,
Mae V. Cowdery Family House,Northwest,222 W. Penn St.,Philadelphia,PA,19144,dwelling,fulldata_281,,,40.027957,-75.173862,,,,
Pelham District,Northwest,Pelham Rd. between Greene St. and Germantown Ave.,Philadelphia,PA,19144,,fulldata_282,,,39.990821,-75.168428,,,,
Peoples' Presbyterian Church,Northwest,W. Coulter St.,Philadelphia,PA,,church,fulldata_283,,,40.028615,-75.175241,,,,
"Potter's Field, Pulaski Town",Northwest,Pulaski Ave. and W. Queen Lane,Philadelphia,PA,19144,cemetery,fulldata_284,,,39.990821,-75.168428,,,,
Pulaski Town,Northwest,"Wayne Ave. to Morris St., Coulter St. to W. Queen Lane",Philadelphia,PA,19144,,fulldata_285,,,39.990821,-75.168428,,,,
Robert Clymer House Site / Germantown High School,Northwest,5819 Germantown Ave.,Philadelphia,PA,19144,school,fulldata_286,,,40.03744,-75.175764,,,,
Rock House,Northwest,E. Penn St.,Philadelphia,PA,19144,dwelling,fulldata_287,,,40.035873,-75.165532,,,,
Sadie T. M. Alexander House,Northwest,700 Westview St.,Philadelphia,PA,19119,dwelling,fulldata_288,,,40.050941,-75.187245,,https://penntoday.upenn.edu/sites/default/files/2022-05/stma-grad-vertical.jpg,,image/jpeg
St. Barnabas Mission / St. Barnabas Episcopal Church / Mt. Tabor Church,Northwest,62 W. Rittenhouse St.,Philadelphia,PA,19144,church,fulldata_289,1849,1849,40.036049,-75.177628,,,,
St. Luke's Episcopal Church,Northwest,5411-5421 Germantown Ave.,Philadelphia,PA,19144,church,fulldata_290,ca. 1875-1876; numerous alterations,1875;1876,39.973054,-75.141599,,,,
St. Magdalen's Asylum for Colored Girls and Women,Northwest,Penn St. and Chew Ave.,Philadelphia,PA,19138,,fulldata_291,,,39.990821,-75.168428,,,,
St. Mary's Mission for Colored People,Northwest,6138 Germantown Ave.,Philadelphia,PA,19144,school,fulldata_292,,,39.973054,-75.141599,,,,
Tioga Mission / Faith Presbyterian Church / Mt. Moriah Baptist Church,Northwest,5331-5335 Pulaski Ave.,Philadelphia,PA,19144,church,fulldata_293,1914,1914,40.032722,-75.182942,,,,
Walter C. Beckett Funeral Home,Northwest,216 Coulter St.,Philadelphia,PA,19144,funeral home,fulldata_294,,,39.990821,-75.168428,,,,
William Fisher Tavern / David Knight Barber Shop,Northwest,5827 Germantown Ave.,Philadelphia,PA,19144,tavern; barbershop,fulldata_295,,,40.037571,-75.175909,,,,
William Penn Charter School,Northwest,3000 W. School House Lane,Philadelphia,PA,19144,school,fulldata_296,,,40.023516,-75.187336,,,,
Wissahickon Boys Club,Northwest,Coulter St. and Pulaski Ave.,Philadelphia,PA,19144,,fulldata_297,,,39.990821,-75.168428,,,,
Bainbridge Club / Hotel Brotherhood USA,South,1523-1529 Bainbridge St.,Philadelphia,PA,19146,clubhouse,fulldata_298,"ca. 1919, A. Borzner",1919,39.9939785,-75.1545321,A. Borzner,https://storage.googleapis.com/clio-images/small_5319.5490.jpg,,image/jpeg
Gloria Dei Church / Old Swedes' Episcopal Church,South,916 S. Swanson St.,Philadelphia,PA,19147,church,fulldata_299,"1677-1698, Andrew Rudman; alterations, 1703-1705, ca. 1733, 1845; alterations, 1896, George Champlin Mason, Jr.",1677;1698;1703;1705;1733;1845;1896,39.916921,-75.146962,"Andrew Rudman;George Champlin Mason, Jr.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Gloria_Dei_%28Church%29%2C_929_South_Water_Street%2C_Philadelphia%2C_Philadelphia_County%2C_PA_HABS_PA%2C51-PHILA%2C174-_%28sheet_3_of_10%29.png/664px-Gloria_Dei_%28Church%29%2C_929_South_Water_Street%2C_Philadelphia%2C_Philadelphia_County%2C_PA_HABS_PA%2C51-PHILA%2C174-_%28sheet_3_of_10%29.png,,image/jpeg
Elks Lodge,South,739-43 S. 16th St.,Philadelphia,PA,19146,,fulldata_300,"ca. 1928, C. Adams",1928,39.942034,-75.168896,C. Adams,https://upload.wikimedia.org/wikipedia/commons/4/4f/PhilaPaElksMagHotelAdvertize.jpg,,image/jpeg
Union Baptist Church Building #2,South,1910 Fitzwater St.,Philadelphia,PA,19146,church,fulldata_301,"1913, Charles Bolton & Son; alterations, 1926, Charles Bolton & Son",1913;1926,39.942723,-75.174563,Charles Bolton & Son;Charles Bolton & Son,,,
St. Charles Borromeo Church,South,1941 Christian St.,Philadelphia,PA,19146,church,fulldata_302,"1876, Edwin Forrest Durang",1876,39.941299,-75.175457,Edwin Forrest Durang,https://digital.librarycompany.org/islandora/object/digitool:97183/datastream/JPG/view,,image/jpeg
Holy Trinity Baptist Church,South,1818-1824 Bainbridge St.,Philadelphia,PA,19146,church,fulldata_303,"1900, Edwin Gilbert of Gilbert & Reid",1900,39.942257,-75.161512,Edwin Gilbert of Gilbert & Reid,https://sah-archipedia.org/sites/default/files/pictures/full/PA-02-PH82-001.jpg,,image/jpeg
YWCA - Southwest-Belmont Branch,South,1607-15 Catharine St.,Philadelphia,PA,19146,young women's Christian association,fulldata_304,"ca. 1922, Erskine, Morris",1922,39.936955,-75.142769,"Erskine, Morris",https://digital.library.temple.edu/customizations/global/pages/images/YWCA_Widescreen.jpg,,image/jpeg
Shiloh Baptist Church #3 / Church of the Holy Apostles,South,2040 Christian St.,Philadelphia,PA,19146,church,fulldata_305,"1868-1870, Fraser, Furness & Hewitt; alterations, 1890, George W. Hewitt",1868;1870;1890,39.941156,-75.17749,"Fraser, Furness & Hewitt;George W. Hewitt",https://www.hmdb.org/Photos3/342/Photo342272.jpg?1217201533300PM,,image/jpeg
Harrison Day Nursery,South,1839-1843 Ellsworth St.,Philadelphia,PA,19146,day care,fulldata_306,"1898, Furness, Evans and Co.",1898,39.933044,-75.146626,"Furness, Evans and Co.",,,
Zion A.M.E. Church,South,1600 S. 21st St.,Philadelphia,PA,19145,church,fulldata_307,"1925-1928, George E. Savage",1925;1928,39.931847,-75.180092,George E. Savage,,,
St. Martha's House / Houston Community Center,South,2029 S. 8th St.,Philadelphia,PA,19148,settlement house,fulldata_308,"ca. 1914, Hastings Brockie",1914,39.923225,-75.159555,Hastings Brockie,https://digital.librarycompany.org/islandora/object/digitool:97269/datastream/JPG/view,,image/jpeg
St. Mary Chapel Building,South,1831-1835 Bainbridge St.,Philadelphia,PA,19146,church,fulldata_309,"1897, Hazlehurst & Huckel",1897,39.942257,-75.161512,Hazlehurst & Huckel,,,
Varick Memorial Church Site,South,763 S. 19th St.,Philadelphia,PA,19146,church,fulldata_310,"1889, Hazlehurst & Huckel",1889,39.942029,-75.173852,Hazlehurst & Huckel,https://ruins.files.wordpress.com/2008/02/19th_catherine2.jpg?w=440&h=340,,image/jpeg
Friendship Baptist Church / 18th Street Baptist Church / 18th Street Methodist Episcopal Church,South,1730 Wharton St.,Philadelphia,PA,19146,church,fulldata_311,"1885-1888, J. Franklin Stuckert",1885;1888,39.934777,-75.173805,J. Franklin Stuckert,,,
Church of the Crucifixion Building and Parish House,South,620 S. 8th St.,Philadelphia,PA,19147,church,fulldata_312,"1883, Pursell & Fry; 1902, Isaac Pursell and Duhring, Okie & Ziegler",1883;1902,39.9449844,-75.1671013,Pursell & Fry; Isaac Pursell and Duhring;Okie & Ziegler,https://miro.medium.com/v2/resize:fit:501/1*w5efIgQVP2CuhjFWw3jBJg.png,,image/jpeg
Tasker Street Baptist Church / Metropolitan Baptist Church,South,2010 Tasker St.,Philadelphia,PA,19145,church,fulldata_313,"ca. 1900, S. Bythewood; alterations, 1928 and 1940, Richard R. Neely",1900;1928;1940,39.930982,-75.172246,S. Bythewood;Richard R. Neely,,,
First African Presbyterian Church / Tabor Chapel / St. Paul's German Reform Church / First Colored Wesley Methodist Church,South,1642 Fitzwater St.,Philadelphia,PA,19146,church,fulldata_314,"1857, Samuel Sloan",1857,39.942237,-75.170639,Samuel Sloan,https://phs-app-media.s3.amazonaws.com/s3fs-public/blog_posts/222.jpg,,image/jpeg
Union Baptist Building #1 / New Hope Temple Baptist Church,South,711-715 S. 12th St.,Philadelphia,PA,19147,church,fulldata_315,"1893, Thomas Bennett",1893,39.932836,-75.164046,Thomas Bennett,,,
Moyamensing Prison,South,10th and Reed Sts.,Philadelphia,PA,19147,prison,fulldata_316,"ca. 1832-1835, Thomas Ustick Walter; many alterations; demolished 1968",1832;1835;1968,39.990821,-75.168428,Thomas Ustick Walter,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Moyamensing_Prison%2C_c1840%2C_1848._%284700659588%29.jpg/500px-Moyamensing_Prison%2C_c1840%2C_1848._%284700659588%29.jpg,,image/jpeg
St. Simon the Cyrenian Church and Rectory,South,1401 S. 22nd St.,Philadelphia,PA,19146,church,fulldata_317,"1905 (rectory), 1913-1914, Thomas, Churchman & Molitor",1905;1913;1914,39.934379,-75.180644,"Thomas, Churchman & Molitor",https://i0.wp.com/philadelphiastudies.org/wp-content/uploads/2017/05/may2017part3-172.jpg?resize=625%2C507&ssl=1,,image/jpeg
First Penny Savings and Loan,South,2052 Bainbridge St.,Philadelphia,PA,19146,bank,fulldata_318,"ca. 1914, W. Haddock",1914,39.942257,-75.161512,W. Haddock,https://philadelphiaencyclopedia.org/wp-content/uploads/2017/07/Philadelphia-Saving-Fund-Society-Building-700-710-Walnut-Street-1886-768x387.jpg,,image/jpeg
First African Baptist Church Building,South,1600-1606 Christian St.,Philadelphia,PA,19146,church,fulldata_319,"1904, Watson & Huckel",1904,39.939942,-75.165555,Watson & Huckel,https://www.hmdb.org/Photos3/303/Photo303740.jpg?325201562300PM,,image/jpeg
Shiloh Baptist Church #1 / Murray Chapel / Mount Olive A.M.E. Church / Waters Memorial A.M.E. Church,South,609 S. Clifton St.,Philadelphia,PA,19147,church,fulldata_320,"ca. 1840; alterations, 1895, Wilson Brothers; alterations, 1921, C. Wilson; alterations, 1953",1840;1895;1921;1953,39.942645,-75.159714,Wilson Brothers;C. Wilson,,,
Alain Leroy Locke House,South,2221 S. 5th St.,Philadelphia,PA,19148,dwelling,fulldata_321,,,39.9206044,-75.1552563,,https://hiddencityphila.org/wp-content/uploads/2021/06/Alain-Locke-home-1.jpg,,image/jpeg
Allen A.M.E. Church Building #2 / First Church of the Covenanters Presbyterian Church / New Light Beulah Baptist Church,South,1701-1711 Bainbridge St.,Philadelphia,PA,19146,church,fulldata_322,ca. 1870,1870,39.9435585,-75.1707501,,,,
Bainbridge Street Methodist Church / Associated Presbyterian Church Site,South,1122-1128 Bainbridge St.,Philadelphia,PA,19147,church,fulldata_323,,,38.9766421,-77.0025789,,,,
Bessie Calhoun Bird House,South,22nd and Bainbridge Sts.,Philadelphia,PA,19146,dwelling,fulldata_324,,,40.0581637,-75.0273031,,,,
Bessie Smith House,South,1319 Christian St.,Philadelphia,PA,19147,dwelling,fulldata_325,,,40.042294,-75.170816,,,,
Bethsaida A.M.E. Zion Church,South,Bainbridge near 12th; 12th and Fitzwater,Philadelphia,PA,19147,church,fulldata_326,,,39.9796509,-75.166852,,,,
Bright Hope Baptist Church,South,2431 S. Alder St.,Philadelphia,PA,19148,church,fulldata_327,,,39.944679,-75.1653428,,,,
Christian Street YMCA,South,1724 Christian St.,Philadelphia,PA,19146,young men's Christian association,fulldata_328,ca. 1914; rebuilt 1969,1914;1969,44.9721788,-93.2639324,,https://aaregistry.org/wp-content/uploads/2009/09/YMCA_Christian-Street-c-1945_photo-by-John-W-Mosley.jpg,,image/jpeg
Church of God and Saints of Christ,South,Fitzwater near Broad St.,Philadelphia,PA,,church,fulldata_329,,,39.9441328,-75.178457,,,,
Church of the Lord Jesus Christ of the Apostolic Faith,South,701 S. 22nd St.,Philadelphia,PA,19146,church,fulldata_330,,,39.9752385,-75.1949505,,,,
Circle Mission Church / Divine Enterprises Headquarters,South,764-72 S. Broad St.,Philadelphia,PA,19146,church,fulldata_331,ca. 1897,1897,40.072287,-75.1584723,,,,
Clef Club of Philadelphia,South,738 S. Broad St.,Philadelphia,PA,19146,,fulldata_332,,,39.9652418,-75.2279652,,,,
Davis Chapel Building,South,1026 S. 22nd St.,Philadelphia,PA,19146,church,fulldata_333,,,40.0384412,-75.1787288,,,,
Eden Baptist Church,South,"Moyamensing Ave., near Sartain St.",Philadelphia,PA,19148,church,fulldata_334,,,39.990821,-75.168428,,,,
Eliza Turner,South,"Tasker, above 12th St.",Philadelphia,PA,,church,fulldata_335,,,39.990821,-75.168428,,,,
First African Presbyterian Church / Tabor Presbyterian Church site,South,1800-1806 Catharine St.,Philadelphia,PA,19146,church,fulldata_336,,,39.936955,-75.142769,,,,
First African Presbyterian Church Site #1,South,705-711 S. 7th St.,Philadelphia,PA,19147,church,fulldata_337,,,39.930818,-75.156423,,,,
Frances Ellen Watkins Harper House,South,1006 Bainbridge St.,Philadelphia,PA,19147,dwelling,fulldata_338,"1860, 1890",1860;1890,39.941859,-75.159426,,,,
Grace Church / First Reformed Presbyterian Church,South,1146 S. 19th St.,Philadelphia,PA,19146,church,fulldata_339,ca. 1875,1875,39.912433,-75.1798,,,,
Hope Presbyterian Church,South,1301-1307 S. 33rd St.,Philadelphia,PA,19146,church,fulldata_340,1887,1887,39.936591,-75.198215,,,,
Institute for Colored Youth,South,915 Bainbridge St.,Philadelphia,PA,19147,school,fulldata_341,ca. 1865-1866,1865;1866,39.942014,-75.15791,,https://moonstoneartscenter.org/wp-content/uploads/2015/09/image002.jpg,,image/jpeg
Jack and Jill of America,South,1605 Christian St.,Philadelphia,PA,19146,,fulldata_342,,,39.940682,-75.169737,,,,
James W. Queen Memorial Chapel,South,1309-1319 S. 33rd St.,Philadelphia,PA,19146,church,fulldata_343,,,39.936591,-75.198215,,,,
John Wesley Methodist Church Site #1,South,732 Bainbridge St.,Philadelphia,PA,19147,church,fulldata_344,,,39.942257,-75.161512,,,,
Julian F. Abele House,South,1515 Christian St.,Philadelphia,PA,19146,dwelling,fulldata_345,,,39.940565,-75.168718,,,,
Lebanon Cemetery,South,1800 W. Passyunk Ave.,Philadelphia,PA,19145,cemetery,fulldata_346,,,39.990821,-75.168428,,,,
Lincoln Day Nursery,South,1706 Bainbridge St.,Philadelphia,PA,19146,day care,fulldata_347,,,39.942257,-75.161512,,,,
Marian Anderson House,South,762 S. Martin St.,Philadelphia,PA,19146,dwelling; museum,fulldata_348,,,39.9424,-75.174771,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/M_Anderson_House_Philly.jpg/500px-M_Anderson_House_Philly.jpg,"By Smallbones - Own work, CC0, https://commons.wikimedia.org/w/index.php?curid=15434395",image/jpeg
Marian Anderson Recreation Center,South,744 S. 17th St.,Philadelphia,PA,19146,recreation center,fulldata_349,,,39.916512,-75.176366,,,,
Mercy Hospital - Site #1,South,17th and Fitzwater Sts.,Philadelphia,PA,19146,hospital,fulldata_350,,,39.942723,-75.174563,,https://hiddencityphila.org/wp-content/uploads/2020/10/mossell4.jpg,,image/jpeg
Metropolitan A.M.E. Zion Church,South,725 S. 20th St.,Philadelphia,PA,19146,church,fulldata_351,ca. 1861,1861,39.910375,-75.182639,,,,
Metropolitan A.M.E. Zion Church,South,15th and Christian Sts.,Philadelphia,PA,19146,church,fulldata_352,,,39.940539,-75.17218,,,,
Mount Moriah Baptist Church Site,South,1617-1619 Catharine St.,Philadelphia,PA,19146,church,fulldata_353,,,39.936955,-75.142769,,,,
Mount Zion A.M.E. Church,South,20th and Fitzwater Sts.,Philadelphia,PA,19146,church,fulldata_354,,,39.942723,-75.174563,,,,
Philadelphia Association for the Protection of Colored Women,South,1506-8 Catharine St.,Philadelphia,PA,19146,,fulldata_355,,,39.936955,-75.142769,,,,
Progressive Workingmen's Club,South,S. 11th St.,Philadelphia,PA,19147,,fulldata_356,,,39.90258,-75.169012,,,,
St. Mark Mission Church,South,S. 11th St. near Bainbridge St.,Philadelphia,PA,19147,church,fulldata_357,,,39.990821,-75.168428,,,,
St. Mary Church,South,938 S. 6th St.,Philadelphia,PA,19147,church,fulldata_358,,,39.949982,-75.150576,,,,
St. Paul Church,South,1738 Dickinson St.,Philadelphia,PA,19146,church,fulldata_359,,,39.932349,-75.174414,,,,
Thompson Mission Church,South,17th and Kater Sts.,Philadelphia,PA,19146,church,fulldata_360,,,39.990821,-75.168428,,,,
Tindley Temple United Methodist Church / Calvary Methodist Church,South,750-62 S. Broad St.,Philadelphia,PA,19146,church,fulldata_361,ca. 1924,1924,39.941355,-75.166428,,,,
"Union Local 274, American Federation of Musicians",South,912 S. Broad St.,Philadelphia,PA,19146,union,fulldata_362,,,39.93959,-75.166805,,,,
United House of Prayer for All People,South,742 S. 16th St.,Philadelphia,PA,19146,church,fulldata_363,ca. 1925,1925,39.912384,-75.175282,,,,
Women's Exchange and Girls' Home / Industrial Exchange Training School and Dormitory,South,756 S. 12th St.,Philadelphia,PA,19147,school; dormitory,fulldata_364,,,39.932836,-75.164046,,,,
Zion A.M.E. Church Site,South,1522-1524 S. 7th St.,Philadelphia,PA,19147,church,fulldata_365,,,39.930818,-75.156423,,,,
Dutrieuille Catering Site #2,West,4001 Spring Garden St.,Philadelphia,PA,19104,caterer,fulldata_366,"ca. 1888, A. Wade",1888,39.9176146,-75.1668377,A. Wade,,,
First African Presbyterian Church / Emmanuel Presbyterian Church,West,4159 W. Girard Ave.,Philadelphia,PA,19104,church,fulldata_367,"1912, Charles Bolton & Son",1912,39.973946,-75.209674,Charles Bolton & Son,,,
St. Matthew Church Building,West,215 N. 57th St.,Philadelphia,PA,19139,church,fulldata_368,"1940, Charles Bolton & Son",1940,39.964697,-75.233722,Charles Bolton & Son,,,
Bethel Baptist Church,West,4033-4037 Haverford Ave.,Philadelphia,PA,19104,church,fulldata_369,"1924, Clarence Caspary",1924,39.9413541,-75.1621808,Clarence Caspary,,,
Franklin Field,West,33rd and Spruce Streets,Philadelphia,PA,19104,stadium,fulldata_370,"1922, Day & Klauder",1922,39.990821,-75.168428,Day & Klauder,,,
St. Monica Mission Church Site,West,4206 Woodland Ave.,Philadelphia,PA,19104,church,fulldata_371,"1914-1916, Duhring, Okie and Ziegler",1914;1916,39.949464,-75.199983,"Duhring, Okie and Ziegler",https://i0.wp.com/philadelphiastudies.org/wp-content/uploads/2019/07/overbrook3-62.jpg?resize=625%2C508&ssl=1,,image/jpeg
Paul Leroy Robeson House,West,4951 Walnut St.,Philadelphia,PA,19139,dwelling,fulldata_372,"1911, E.A. Wilson; alterations, ca. 1959",1911;1959,39.956688,-75.221373,E.A. Wilson,https://www.paulrobesonhouse.org/wp-content/uploads/2017/06/robesonhousefrontfooter.jpg,,image/jpeg
African Episcopal Church of St. Thomas Site #3,West,6361 Lancaster Ave.,Philadelphia,PA,19151,church,fulldata_373,"1899, Frederick Mann; alterations, 1905, Baily & Bassett",1899;1905,39.9871825,-75.2510486,Frederick Mann;Baily & Bassett,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/African_Episcopal_Church_of_St._Thomas.jpg/440px-African_Episcopal_Church_of_St._Thomas.jpg,,image/jpeg
Allen A.M.E. Church Building #3 / Fourth Reformed Presbyterian Church Building,West,5901 Larchwood Ave.,Philadelphia,PA,19143,church,fulldata_374,"1917, George D. Savage",1917,39.9539121,-75.2406593,George D. Savage,https://i0.wp.com/rediscovering-black-history.blogs.archives.gov/wp-content/uploads/sites/15/2021/06/71997374-church-scaled.jpg?w=1370,,image/jpeg
Mount Pisgah A.M.E. Church / Centenary Methodist Church,West,428 N. 41st St.,Philadelphia,PA,19104,church,fulldata_375,"ca. 1860s-1880s; alterations, 1901, H. King; alterations, 1913, James Fernald; rebuilt after fire, 1944",1860s;1880s; 1901; 1913;1944,39.976197,-75.206385,H. King;James Fernald,https://www.blackpast.org/wp-content/uploads/Mt_Pisgah_African_Methodist_Episcopal_Church_Elsinboro_New_Jersey.jpg,,image/jpeg
Mount Carmel Baptist Church,West,5732 Race St.,Philadelphia,PA,19139,church,fulldata_376,"1915, Henry DeHoff; alterations, 1938, Charles Bolton & Sons; main sanctuary, post-World War II",1915;1938,39.964312,-75.235491,Henry DeHoff;Charles Bolton & Sons,,,
Clanerda Presbyterian Church,West,34th and Girard Sts.,Philadelphia,PA,19104,church,fulldata_377,"ca. 1912, Horace Trumbauer (Julian Abele)",1912,39.942743,-75.152895,Horace Trumbauer (Julian Abele),,,
Irvine Auditorium (University of Pennsylvania),West,3401 Spruce St.,Philadelphia,PA,19104,auditorium,fulldata_378,"ca. 1928, Horace Trumbauer (Julian Abele)",1928,39.950877,-75.19301,Horace Trumbauer (Julian Abele),https://spaceandevents.universitylife.upenn.edu/wp-content/uploads/2020/11/Irvine_-_Southeast_Entrance4_resize.jpg,,image/jpeg
Otto Eisenlohr House / President's House (University of Pennsylvania),West,3812 Walnut St.,Philadelphia,PA,19104,dwelling,fulldata_379,"ca. 1905, Horace Trumbauer (Julian Abele)",1905,39.949649,-75.16673,Horace Trumbauer (Julian Abele),https://stor.artstor.org/stor/bc6a1721-3cc0-4664-b7d7-7101d010b69c_size2,,image/jpeg
Zoological Society Building,West,34th and Girard Sts.,Philadelphia,PA,19104,,fulldata_380,"ca. 1912, Horace Trumbauer (Julian Abele)",1912,39.990821,-75.168428,Horace Trumbauer (Julian Abele),,,
Stephen Smith Home for the Aged and Infirmed,West,4400 W. Girard Ave.,Philadelphia,PA,19104,retirement home,fulldata_381,"ca. 1883, Hutton, Addison",1883,39.972816,-75.212586,"Hutton, Addison",https://coloredconventions.org/black-mobility/wp-content/uploads/sites/4/2018/10/Stephen-Smith-home-for-aged-and-infirm-colored-persons-e1539889228661.jpg,,image/jpeg
Overbrook High School (Wilt Chamberlain),West,5898 Lancaster Ave.,Philadelphia,PA,19131,school,fulldata_382,"1924, Irwin T. Catherine",1924,39.974485,-75.220917,Irwin T. Catherine,https://media.philly.com/images/20170519+1+Wilt+1955+Overbrook.jpeg,,image/jpeg
Star of Hope Baptist Church,West,443 N. 60th St.,Philadelphia,PA,19151,church,fulldata_383,"ca. 1962, James Plater",1962,39.969076,-75.239025,James Plater,,,
Tyree A.M.E. Church / 10th United Presbyterian Church,West,3800 Hamilton St.,Philadelphia,PA,19104,church,fulldata_384,"1886, Lawrence Valk",1886,39.961293,-75.19721,Lawrence Valk,,,
Pinn Memorial Baptist Church / Har Zion Synagogue,West,2251 N. 54th St.,Philadelphia,PA,19131,church,fulldata_385,"1922-1924, Leroy Rothschild; alterations and additions, 1940-1957, Silverman & Levey",1922;1924;1940;1957,39.993335,-75.233854,Leroy Rothschild;Silverman & Levey,https://www.harziontemple.org/wp-content/uploads/2017/11/large-History-Thumbnail.jpg,,image/jpeg
Lombard Central Presbyterian Church Building #2 / Friends Meeting House,West,4201 Powelton Ave.,Philadelphia,PA,19104,church,fulldata_386,"ca. 1875; alterations, 1903, Morris & Vaux",1875;1903,39.959156,-75.206639,Morris & Vaux,"https://www.philadelphiabuildings.org/pab/iiif.cfm/8DDE5991-1FEB-495A-BEE95622B769D66F/full/400,/0/default.jpg",,image/jpeg
Tyree A.M.E. Church (?) / Williams Chapel / Metropolitan Baptist Church / First United Baptist Church,West,3728-3730 Haverford Ave.,Philadelphia,PA,19104,church,fulldata_387,"before 1922; alterations as church, 1937, Richard Neely",1922;1937,39.968301,-75.23486,Richard Neely,,,
Monumental Baptist Church / First Reformed Church,West,4948 Locust St.,Philadelphia,PA,19139,church,fulldata_388,"1923-1925, Stuckert & Co.",1923;1925,39.955048,-75.221354,Stuckert & Co.,,,
"United Mission Church / Pennsylvania Railroad Branch, YMCA / Second Antioch Baptist Church",West,907 N. 41st St.,Philadelphia,PA,19104,church,fulldata_389,"1892, T. P. Lonsdale",1892,39.976197,-75.206385,T. P. Lonsdale,,,
White Rock Baptist Church / St. Matthew M.E. Church,West,5240-5244 Chestnut St.,Philadelphia,PA,19139,church,fulldata_390,"original church building, 1889-1890, T. P. Lonsdale; parish house, 1899, T. P. Lonsdale; substantial chapel addition, 1908, Wesl",1889;1890;1899;1908,39.957881,-75.220335,T. P. Lonsdale;T. P. Lonsdale;Wesl,,,
St. Michael and All Angels Chapel / Bethany Baptist Church / Victory Baptist Church,West,4238 Wallace St.,Philadelphia,PA,19104,church,fulldata_391,"1889, William Camac, project architect, in firm of Furness, Evans & Co.; alterations, 1920, John E. Bullock",1889;1920,39.963341,-75.20862,"William Camac;Furness, Evans & Co.;John E. Bullock",,,
African-American Baseball Fields,West,Belmont and Parkside Ave.,Philadelphia,PA,19104,,fulldata_392,,,39.9777836,-75.2134524,,,,
Arnett A.M.E. Church Site,West,1416 S. Hanson St.,Philadelphia,PA,19143,church,fulldata_393,,,39.953926,-75.18969,,,,
Asbury Methodist Episcopal Church,West,33rd and Chestnut Sts.,Philadelphia,PA,19104,church,fulldata_394,,,39.9510771,-75.1656073,,,,
Banneker School,West,7013 Woodland Ave.,Philadelphia,PA,19142,school,fulldata_395,,,39.9430211,-75.1521279,,,,
Barnes Argyrol Factory,West,40th and Filbert Sts.,Philadelphia,PA,19104,factory,fulldata_396,,,39.9963869,-75.114812,,,,
Berean Baptist Church #1,West,3838 Haverford Ave.,Philadelphia,PA,19104,church,fulldata_397,,,39.958343,-75.226207,,,,
Berean Building and Loan Association,West,5228 Chestnut St.,Philadelphia,PA,19139,bank,fulldata_398,,,40.5622315,-105.0769152,,,,
Black Oak Park / Malcolm X Memorial Park,West,5150 Pine St.,Philadelphia,PA,19143,park,fulldata_399,,,39.918934,-75.1642855,,,,
Calvary Baptist Church site,West,8600-8604 Erwig Ave.,Philadelphia,PA,19153,church,fulldata_400,,,40.0447827,-75.1701755,,,,
Clearview A.M.E. Church,West,79th and Eastwick,Philadelphia,PA,19153,church,fulldata_401,,,40.0267648,-75.1768366,,,,
Crystal Bird Fauset House,West,5403 Vine St.,Philadelphia,PA,19139,dwelling,fulldata_402,,,39.9666702,-75.160056,,https://www.phila.gov/media/20170308121227/Crystal-Bird-Fauset1-550x360.jpg,,image/jpeg
Divine Tracy Hotel,West,20 S. 36th St.,Philadelphia,PA,19104,hotel,fulldata_403,ca. 1920s,1920s,39.9514103,-75.1706011,,,,
Elmwood Mission Church / St. Paul A.M.E. Church site,West,86th and Eastwick Place,Philadelphia,PA,19153,church,fulldata_404,,,39.990821,-75.168428,,,,
Freedom Now Rally (Dr. Martin Luther King Jr.),West,Lancaster and Haverford Aves.,Philadelphia,PA,19104,,fulldata_405,,,39.963926,-75.19431,,https://collaborativehistory.gse.upenn.edu/sites/default/files/Freedom%20Now%20Rally.png,,image/jpeg
Hog Island,West,"along Delaware River, just below Ft. Mifflin",Philadelphia,PA,19153,,fulldata_406,,,39.621192,-75.577572,,,,
Holy Temple Church Building,West,6000 Callowhill St.,Philadelphia,PA,19151,church,fulldata_407,ca. 1920s-1930s,1920s;1930s,39.967919,-75.239849,,,,
